"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11967","use incorect login information","Default suite","Fri Aug 15 15:35:06 IDT 2025","passed","Fri Aug 15 15:35:17 IDT 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc01_loginFailed"
"This test selects clothing items for a woman: a bras, its size and color, verifies that the matching items were actually selected, and purchases the item.","30147","tc_15_buyWomenBras","Default suite","Tue Sep 23 18:15:28 IDT 2025","passed","Tue Sep 23 18:15:58 IDT 2025","magento.com.tests.BuyingWomenClothesTest","Default test","magento.com.tests.BuyingWomenClothesTest","tc_15_buyWomenBras"
"This test selects clothing items for a woman: a jacket, its size and color, verifies that the matching items were actually selected, and purchases the item.","31238","tc_12_buyWomenJacket","Default suite","Tue Sep 23 18:13:34 IDT 2025","passed","Tue Sep 23 18:14:05 IDT 2025","magento.com.tests.BuyingWomenClothesTest","Default test","magento.com.tests.BuyingWomenClothesTest","tc_12_buyWomenJacket"
"This test selects a bag, sports accessory, and watch and verifies that they were actually added to the shopping cart.","10132","tc_18_AddingSeveralItemsToCartTest","Default suite","Wed Sep 24 09:24:27 IDT 2025","broken","Wed Sep 24 09:24:37 IDT 2025","magento.com.tests.AddToCartTest","Default test","magento.com.tests.AddToCartTest","tc_18_AddingSeveralItemsToCartTest"
"","1","tearDown","Default suite","Fri Aug 08 15:10:46 IDT 2025","broken","Fri Aug 08 15:10:46 IDT 2025","magento.com.tests.AddToCartTest","Default test","magento.com.tests.AddToCartTest","tearDown"
"","1","tc02_loginFailed","Default suite","Sat Feb 08 13:38:06 IST 2025","broken","Sat Feb 08 13:38:06 IST 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc02_loginFailed"
"","8379","tc_14_buyWomenteess","Default suite","Sat Sep 20 16:39:51 IDT 2025","broken","Sat Sep 20 16:39:59 IDT 2025","magento.com.tests.BuyingWomenClothesTest","Default test","magento.com.tests.BuyingWomenClothesTest","tc_14_buyWomenteess"
"","29992","tc_18_AddingSeveralItemsTest","Default suite","Sat Jul 12 11:05:08 IDT 2025","passed","Sat Jul 12 11:05:38 IDT 2025","magento.com.tests.AddToCartTest","Default test","magento.com.tests.AddToCartTest","tc_18_AddingSeveralItemsTest"
"","5553","tc02_validLogin","Default suite","Sat Feb 08 13:21:13 IST 2025","passed","Sat Feb 08 13:21:19 IST 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc02_validLogin"
"","1","setup","Default suite","Sat Sep 20 17:10:00 IDT 2025","broken","Sat Sep 20 17:10:00 IDT 2025","magento.com.tests.AddToCartTest","Default test","magento.com.tests.AddToCartTest","setup"
"This test selects clothing items for a man: a Shorts, its size and color, verifies that the matching items were actually selected, and purchases the item.","36886","tc_11_buyMenShorts","Default suite","Sat Sep 20 18:13:06 IDT 2025","passed","Sat Sep 20 18:13:43 IDT 2025","magento.com.tests.BuyingMensClothesTest","Default test","magento.com.tests.BuyingMensClothesTest","tc_11_buyMenShorts"
"","5198","tc01_validLogin","Default suite","Sat Feb 08 13:03:50 IST 2025","passed","Sat Feb 08 13:03:55 IST 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc01_validLogin"
"This test attempts to sign in with incorrect credentials and verifies that the appropriate error message is displayed.","7","use incorect login information","Default suite","Tue Sep 23 14:32:08 IDT 2025","skipped","Tue Sep 23 14:32:08 IDT 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc01_loginFailed"
"This test selects clothing items for a woman: a tee, its size and color, verifies that the matching items were actually selected, and purchases the item.","31547","tc_14_buyWomentees","Default suite","Tue Sep 23 18:14:50 IDT 2025","passed","Tue Sep 23 18:15:22 IDT 2025","magento.com.tests.BuyingWomenClothesTest","Default test","magento.com.tests.BuyingWomenClothesTest","tc_14_buyWomentees"
"This test selects clothing items for a man: a Tank, its size and color, verifies that the matching items were actually selected, and purchases the item.","37654","tc_09_buyMenTanks","Default suite","Sat Sep 20 18:11:38 IDT 2025","passed","Sat Sep 20 18:12:16 IDT 2025","magento.com.tests.BuyingMensClothesTest","Default test","magento.com.tests.BuyingMensClothesTest","tc_09_buyMenTanks"
"This test selects clothing items for a man: a jacket, its size and color, verifies that the matching items were actually selected, and purchases the item.","39605","tc_06_buyMenJacket","Default suite","Sat Sep 20 18:09:24 IDT 2025","passed","Sat Sep 20 18:10:04 IDT 2025","magento.com.tests.BuyingMensClothesTest","Default test","magento.com.tests.BuyingMensClothesTest","tc_06_buyMenJacket"
"","15","use incorect login information","Default suite","Sat Feb 08 13:03:56 IST 2025","broken","Sat Feb 08 13:03:56 IST 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc02_loginFailed"
"","2","setup","Default suite","Sat Sep 20 17:34:20 IDT 2025","broken","Sat Sep 20 17:34:20 IDT 2025","magento.com.tests.BuyingMensClothesTest","Default test","magento.com.tests.BuyingMensClothesTest","setup"
"This test signs in with correct credentials and verifies that the welcome message is displayed.","6527","tc04_validLogin","Default suite","Tue Sep 23 12:04:40 IDT 2025","passed","Tue Sep 23 12:04:47 IDT 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc04_validLogin"
"","30","use incorect login information","Default suite","Sat Feb 08 13:03:56 IST 2025","broken","Sat Feb 08 13:03:56 IST 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc02_loginFailed"
"This test leaves the email field empty during sign-in and verifies that the required field error appears.","3684","tc03_emptyEmailField","Default suite","Wed Sep 24 09:48:46 IDT 2025","passed","Wed Sep 24 09:48:50 IDT 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc03_emptyEmailField"
"","4224","tc01_signin","Default suite","Fri Feb 07 14:27:05 IST 2025","passed","Fri Feb 07 14:27:09 IST 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc01_signin"
"","2202","use incorect login information","Default suite","Sat Feb 08 13:05:21 IST 2025","passed","Sat Feb 08 13:05:23 IST 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc01_loginFailed"
"","11","setup","Default suite","Sat Sep 20 17:43:53 IDT 2025","broken","Sat Sep 20 17:43:53 IDT 2025","magento.com.tests.BuyingWomenClothesTest","Default test","magento.com.tests.BuyingWomenClothesTest","setup"
"This test selects clothing items for a woman: a hoodie, its size and color, verifies that the matching items were actually selected, and purchases the item.","33388","tc_13_buyWomenHoodies","Default suite","Tue Sep 23 18:14:11 IDT 2025","passed","Tue Sep 23 18:14:44 IDT 2025","magento.com.tests.BuyingWomenClothesTest","Default test","magento.com.tests.BuyingWomenClothesTest","tc_13_buyWomenHoodies"
"","15","use incorect login information","Default suite","Sat Feb 08 13:03:56 IST 2025","broken","Sat Feb 08 13:03:56 IST 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc02_loginFailed"
"This test selects a number of men's clothing items in the requested sizes and colors, adds them to the cart, changes their quantity in the cart itself, and verifies that the quantity and price have changed to the required ones accordingly.","4594","tc_19_EditingItemsNumbers","Default suite","Wed Sep 24 09:24:43 IDT 2025","broken","Wed Sep 24 09:24:47 IDT 2025","magento.com.tests.AddToCartTest","Default test","magento.com.tests.AddToCartTest","tc_19_EditingItemsNumbers"
"","5102","tc_06_buyMenTops","Default suite","Sat Feb 15 15:01:35 IST 2025","passed","Sat Feb 15 15:01:40 IST 2025","magento.com.tests.BuyingMensClothesTest","Default test","magento.com.tests.BuyingMensClothesTest","tc_06_buyMenTops"
"","9425","use incorect login information","Default suite","Fri Aug 15 15:35:24 IDT 2025","passed","Fri Aug 15 15:35:33 IDT 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc01_loginFailed"
"","210","use incorect login information","Default suite","Sat Feb 08 13:03:55 IST 2025","broken","Sat Feb 08 13:03:56 IST 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc02_loginFailed"
"","1905","use incorect login information","Default suite","Sat Feb 08 13:05:23 IST 2025","passed","Sat Feb 08 13:05:25 IST 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc01_loginFailed"
"This test enters an invalid email format during sign-in and verifies that the system shows the correct validation message.","3528","tc02_invalidEmail","Default suite","Wed Sep 24 09:48:38 IDT 2025","passed","Wed Sep 24 09:48:41 IDT 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc02_invalidEmail"
"This test selects clothing items for a man: a Hoodie, its size and color, verifies that the matching items were actually selected, and purchases the item.","37072","tc_07_buyMenHoodies","Default suite","Sat Sep 20 18:10:10 IDT 2025","passed","Sat Sep 20 18:10:47 IDT 2025","magento.com.tests.BuyingMensClothesTest","Default test","magento.com.tests.BuyingMensClothesTest","tc_07_buyMenHoodies"
"This test leaves the password field empty and verifies that the required field error message is displayed.","3751","tc04_emptyPasswordField","Default suite","Wed Sep 24 09:48:55 IDT 2025","passed","Wed Sep 24 09:48:59 IDT 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc04_emptyPasswordField"
"This test selects clothing items for a man: a Tee, its size and color, verifies that the matching items were actually selected, and purchases the item.","38962","tc_08_buyMenTees","Default suite","Sat Sep 20 18:10:53 IDT 2025","passed","Sat Sep 20 18:11:32 IDT 2025","magento.com.tests.BuyingMensClothesTest","Default test","magento.com.tests.BuyingMensClothesTest","tc_08_buyMenTees"
"This test selects clothing items for a man: a Pants, its size and color, verifies that the matching items were actually selected, and purchases the item.","37371","tc_10_buyMenPants","Default suite","Sat Sep 20 18:12:22 IDT 2025","passed","Sat Sep 20 18:13:00 IDT 2025","magento.com.tests.BuyingMensClothesTest","Default test","magento.com.tests.BuyingMensClothesTest","tc_10_buyMenPants"
"This test attempts to sign in with incorrect credentials and verifies that the appropriate error message is displayed.","7527","use incorect login information","Default suite","Wed Sep 24 09:48:25 IDT 2025","passed","Wed Sep 24 09:48:32 IDT 2025","magento.com.tests.SignInTest","Default test","magento.com.tests.SignInTest","tc01_loginFailed"
"This test selects a number of women's clothing items in the requested sizes and colors, adds them to the cart, reduces their quantity in the cart itself, and verifies that the quantity and price have changed to the required ones accordingly.","9722","tc_20_deletingItemsFromTheCart","Default suite","Wed Sep 24 09:24:53 IDT 2025","broken","Wed Sep 24 09:25:03 IDT 2025","magento.com.tests.AddToCartTest","Default test","magento.com.tests.AddToCartTest","tc_20_deletingItemsFromTheCart"
