"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Shopping cart testing","1","0","Selecting a number of women's clothing items in a variety of colors and sizes, adding them to the cart and changing the quantity","0"
"0","","0","Shopping cart testing","1","0","Selecting a number of men's clothing items in a variety of colors and sizes, adding them to the cart and changing the quantity","0"
"0","","0","Women's Clothing","1","0","Buy a Women's pants and complete checkout","0"
"0","","0","Women's Clothing","1","0","Buy a Women's hoodie and complete checkout","0"
"0","","0","User Authentication","1","0","Sign in with invalid email format","0"
"0","","0","User Authentication","1","0","Sign in with empty email field","0"
"0","","0","Men's Clothing","1","0","Buy a Men's Tee and complete checkout","0"
"0","","0","Men's Clothing","1","0","Buy a Men's Jacket and complete checkout","0"
"0","","0","Men's Clothing","1","0","Buy a Men's Hoodie and complete checkout","0"
"0","","0","User Authentication","1","0","Sign in with empty password field","0"
"0","","0","Women's Clothing","1","0","Buy a Women's tee and complete checkout","0"
"0","","0","User Authentication","1","0","Attempt login with incorrect credentials","0"
"0","","0","Men's Clothing","1","0","Buy a Men's Tank and complete checkout","0"
"0","","0","User Authentication","1","0","Sign in with valid credentials","0"
"0","","0","Women's Clothing","1","0","Buy a Women's bras and complete checkout","0"
"0","","0","Men's Clothing","1","0","Buy a Men's Pants and complete checkout","0"
"0","","0","Additional items","1","0","Buying a bag, sports accessory, and watch and complete checkout","0"
"0","","0","Men's Clothing","1","0","Buy a Men's Shorts and complete checkout","0"
"0","","0","Women's Clothing","1","0","Buy a Women's short and complete checkout","0"
"0","","0","Women's Clothing","1","0","Buy a Women's Jacket and complete checkout","0"
